ordem_de_servico;tag_equipamento;tipo_de_equipamento;tipo_de_evento;tipo_de_manutencao;km_atual;hr_atual;data_entrada;hora_entrada;data_saida;hora_saida
677;CM-36;CAVALO MECANICO;Preventiva;Diversos;161.046,30;4.292,00;18/01/2022;10:00:00;18/01/2022;10:35:00
678;CHH-11;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Elétrico;79.880,30;16.081,00;18/01/2022;12:10:00;18/01/2022;14:00:00
679;CP-77;CAMINHAO PIPA;Corretiva;Mecânico;38.770,10;5.565,00;18/01/2022;15:10:00;18/01/2022;16:10:00
680;CH-63;CAMINHAO HIDROJATO;Corretiva;Borracharia;18.302,10;633,7;18/01/2022;16:00:00;21/01/2022;15:00:00
681;CP-79;CAMINHAO PIPA;Preventiva;Mecânico;22.147,30;3.305,00;20/01/2022;08:00:00;20/01/2022;08:55:00
682;CP-17;CAMINHAO PIPA;Preventiva;Mecânico;65.016,10;8.485,00;20/01/2022;09:15:00;20/01/2022;09:55:00
683;CH-63;CAMINHAO HIDROJATO;Lavagem;Diversos;18.302,10;633,7;20/01/2022;14:10:00;20/01/2022;15:00:00
684;CH-63;CAMINHAO HIDROJATO;Lubrificação;Diversos;18.302,10;633,7;20/01/2022;13:00:00;20/01/2022;15:00:00
685;CM-54;CAVALO MECANICO;Lavagem;Diversos;194.615,50;7.210,00;20/01/2022;15:05:00;20/01/2022;16:00:00
686;CM-54;CAVALO MECANICO;Lubrificação;Diversos;194.615,50;7.210,00;20/01/2022;15:10:00;20/01/2022;16:00:00
687;CB-97;CAMINHAO BASCULANTE;Lavagem;Diversos;124.295,20;5.912,00;20/01/2022;16:05:00;20/01/2022;17:00:00
688;CB-97;CAMINHAO BASCULANTE;Lubrificação;Diversos;124.295,20;5.912,00;20/01/2022;16:12:00;20/01/2022;17:00:00
689;CB-98;CAMINHAO BASCULANTE;Lavagem;Diversos;90.813,40;1.924,00;20/01/2022;17:10:00;20/01/2022;17:55:00
690;CB-98;CAMINHAO BASCULANTE;Lubrificação;Diversos;90.813,40;1.924,00;20/01/2022;17:15:00;20/01/2022;18:00:00
691;VL-45;VEICULO LEVE;Lavagem;Diversos;147.772,00;;20/01/2022;18:10:00;20/01/2022;18:40:00
692;CM-9;CAVALO MECANICO;Preventiva;Mecânico;449.794,30;11.396,00;21/01/2022;11:04:00;21/01/2022;12:33:00
693;CM-4;CAVALO MECANICO;Preventiva;Diversos;459.884,10;12.325,00;21/01/2022;11:31:00;21/01/2022;15:00:00
694;CM-5;CAVALO MECANICO;Corretiva;Borracharia;397.341,40;9.887,00;21/01/2022;11:16:00;21/01/2022;12:20:00
695;CM-8;CAVALO MECANICO;Corretiva;Borracharia;382.371,60;10.011,00;21/01/2022;09:06:00;21/01/2022;10:45:00
696;CH-63;CAMINHAO HIDROJATO;Corretiva;Borracharia;18.302,10;633,7;21/01/2022;15:35:00;21/01/2022;16:19:00
697;CP-77;CAMINHAO PIPA;Corretiva;Borracharia;38.770,10;5.565,00;21/01/2022;08:27:00;21/01/2022;08:55:00
698;VL-46;VEICULO LEVE;Lavagem;Diversos;57.594,00;;21/01/2022;10:47:00;21/01/2022;11:20:00
699;CH-16;CAMINHAO HIDROJATO;Lavagem;Diversos;56.921,50;8.418,00;21/01/2022;11:46:00;21/01/2022;12:30:00
700;CH-16;CAMINHAO HIDROJATO;Lubrificação;Diversos;56.921,50;8.418,00;21/01/2022;12:35:00;21/01/2022;12:55:00
701;CPG-18;CAMINHAO POLIGUINDASTE;Lavagem;Diversos;10.815,80;641;21/01/2022;15:17:00;21/01/2022;16:17:00
702;CPG-18;CAMINHAO POLIGUINDASTE;Lubrificação;Diversos;10.815,80;641;21/01/2022;16:18:00;21/01/2022;16:45:00
703;CP-79;CAMINHAO PIPA;Lavagem;Diversos;22.155,50;3.305,00;21/01/2022;16:23:00;21/01/2022;17:15:00
704;CP-79;CAMINHAO PIPA;Lubrificação;Diversos;22.155,50;3.305,00;21/01/2022;17:16:00;21/01/2022;17:45:00
705;CP-17;CAMINHAO PIPA;Lavagem;Diversos;65.016,70;8.485,00;22/01/2022;13:41:00;22/01/2022;14:20:00
706;CP-17;CAMINHAO PIPA;Lubrificação;Diversos;65.016,70;8.485,00;22/01/2022;14:22:00;22/01/2022;14:35:00
707;CB-15;CAMINHAO BASCULANTE;Lavagem;Diversos;76.697,00;741;22/01/2022;14:36:00;22/01/2022;15:10:00
708;CB-15;CAMINHAO BASCULANTE;Lubrificação;Diversos;76.697,00;741;22/01/2022;15:15:00;22/01/2022;15:50:00
709;CB-101;CAMINHAO BASCULANTE;Lavagem;Diversos;106.373,10;14.778,00;22/01/2022;15:55:00;22/01/2022;16:30:00
710;CB-101;CAMINHAO BASCULANTE;Lubrificação;Diversos;106.373,10;14.778,00;22/01/2022;16:35:00;22/01/2022;16:50:00
711;CV-33;CAMINHAO VACUO;Lavagem;Diversos;124.543,70;7.010,00;22/01/2022;16:51:00;22/01/2022;17:20:00
712;CV-33;CAMINHAO VACUO;Lubrificação;Diversos;124.543,70;7.010,00;22/01/2022;17:25:00;22/01/2022;17:45:00
713;CHH-94;CAMINHAO HIPERVACUO HIDROJATO;Lavagem;Diversos;22.396,80;905;26/01/2022;11:55:00;26/01/2022;12:40:00
714;CHH-94;CAMINHAO HIPERVACUO HIDROJATO;Lubrificação;Diversos;22.396,80;905;26/01/2022;12:45:00;26/01/2022;13:00:00
715;#VALOR!;CAMINHAO HIPERVACUO;Lavagem;Diversos;8.555,60;240;26/01/2022;14:00:00;26/01/2022;14:45:00
716;#VALOR!;CAMINHAO HIPERVACUO;Lubrificação;Diversos;8.555,60;240;26/01/2022;15:05:00;26/01/2022;15:25:00
717;CB-14;CAMINHAO BASCULANTE;Lavagem;Diversos;115.997,30;7.351,00;26/01/2022;15:30:00;26/01/2022;16:10:00
718;CB-14;CAMINHAO BASCULANTE;Lubrificação;Diversos;115.997,30;7.351,00;26/01/2022;16:15:00;26/01/2022;16:50:00
719;PC-89;PA CARREGADEIRA;Lavagem;Diversos;;1.490,80;28/01/2022;07:00:00;28/01/2022;08:00:00
720;PC-89;PA CARREGADEIRA;Lubrificação;Diversos;;1.490,80;28/01/2022;14:14:00;28/01/2022;14:40:00
721;RE-52;RETRO CASE;Lavagem;Diversos;;4.810,50;28/01/2022;08:05:00;28/01/2022;08:50:00
721;RE-52;RETRO CASE;Lubrificação;Diversos;;4.810,50;28/01/2022;14:41:00;28/01/2022;15:00:00
722;RE-7;RETRO CASE;Lavagem;Diversos;;175,3;28/01/2022;09:00:00;28/01/2022;09:50:00
723;RE-7;RETRO CASE;Lubrificação;Diversos;;175,3;28/01/2022;15:05:00;28/01/2022;15:30:00
724;CRR-17;CAMINHAO ROLL ON;Corretiva;Borracharia;6.296,70;376;28/01/2022;08:00:00;28/01/2022;08:25:00
725;CM-43;CAVALO MECANICO;Corretiva;Borracharia;146.004,20;3.558,00;28/01/2022;09:00:00;28/01/2022;09:50:00
726;CB-14;CAMINHAO BASCULANTE;Preventiva;Diversos;115.997,30;7.351,00;28/01/2022;09:10:00;28/01/2022;10:15:00
727;CH-16;CAMINHAO HIDROJATO;Corretiva;Elétrico;56.921,50;8.418,00;28/01/2022;09:05:00;28/01/2022;12:01:00
728;CM-4;CAVALO MECANICO;Corretiva;Mecânico;459.884,70;12.326,00;28/01/2022;12:45:00;28/01/2022;13:35:00
729;CHH-10;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;68.711,40;18.650,90;28/01/2022;14:00:00;;
730;CHH-94;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;22.396,80;905;29/01/2022;08:00:00;29/01/2022;08:45:00
731;CM-7;CAVALO MECANICO;Corretiva;Diversos;149.963,10;4.830,00;29/01/2022;09:00:00;29/01/2022;10:15:00
732;CM-3;CAVALO MECANICO;Corretiva;Mecânico;570.896,80;;29/01/2022;09:15:00;29/01/2022;09:20:00
733;CM-3;CAVALO MECANICO;Lubrificação;Diversos;570.896,80;;29/01/2022;09:22:00;29/01/2022;09:45:00
734;RB-20;REBOQUE TANQUE;Lubrificação;Diversos;;;29/01/2022;09:47:00;29/01/2022;10:05:00
735;CB-12;CAMINHAO BASCULANTE;Corretiva;Diversos;103.150,00;7.123,00;29/01/2022;09:50:00;29/01/2022;10:35:00
736;CRR-99;CAMINHAO ROLL ON;Lavagem;Diversos;14.599,00;7.436,00;29/01/2022;10:45:00;29/01/2022;11:20:00
737;CRR-99;CAMINHAO ROLL ON;Lubrificação;Diversos;14.599,00;7.436,00;29/01/2022;11:25:00;29/01/2022;11:45:00
738;CHH-62;CAMINHAO HIPERVACUO HIDROJATO;Lavagem;Diversos;;;29/01/2022;11:48:00;29/01/2022;12:20:00
739;CHH-62;CAMINHAO HIPERVACUO HIDROJATO;Lubrificação;Diversos;;;29/01/2022;12:25:00;29/01/2022;12:45:00
740;CRR-17;CAMINHAO ROLL ON;Lavagem;Diversos;6.648,80;388;29/01/2022;12:47:00;29/01/2022;13:20:00
741;CRR-17;CAMINHAO ROLL ON;Lubrificação;Diversos;6.648,80;388;29/01/2022;13:22:00;29/01/2022;13:45:00
742;CB-12;CAMINHAO BASCULANTE;Lavagem;Diversos;103.150,00;7.123,00;29/01/2022;13:50:00;29/01/2022;14:33:00
743;CB-12;CAMINHAO BASCULANTE;Lubrificação;Diversos;103.150,00;7.123,00;29/01/2022;14:35:00;29/01/2022;14:55:00
744;CRR-31;CAMINHAO ROLL ON;Lavagem;Diversos;82.383,90;3.988,00;29/01/2022;14:58:00;29/01/2022;15:30:00
745;CRR-31;CAMINHAO ROLL ON;Lubrificação;Diversos;82.383,90;3.988,00;29/01/2022;15:30:00;29/01/2022;15:55:00
746;CP-80;CAMINHAO PIPA;Lavagem;Diversos;20.861,20;3.338,00;29/01/2022;15:57:00;29/01/2022;16:30:00
747;CP-80;CAMINHAO PIPA;Lubrificação;Diversos;20.861,20;3.338,00;29/01/2022;16:35:00;29/01/2022;16:55:00
748;CP-78;CAMINHAO PIPA;Lavagem;Diversos;48.240,80;7.081,00;29/01/2022;16:58:00;29/01/2022;17:30:00
749;CP-78;CAMINHAO PIPA;Lubrificação;Diversos;48.240,80;7.081,00;29/01/2022;17:35:00;29/01/2022;17:55:00
750;CP-80;CAMINHAO PIPA;Corretiva;Diversos;20.861,20;3.338,00;31/01/2022;08:00:00;31/01/2022;08:55:00
751;RT-68;REBOQUE TANQUE;Corretiva;Borracharia;;;31/01/2022;09:15:00;31/01/2022;10:20:00
752;CRR-31;CAMINHAO ROLL ON;Corretiva;Mecânico;82.455,50;3.997,00;31/01/2022;09:35:00;31/01/2022;09:45:00
753;#VALOR!;CAMINHAO HIPERVACUO;Corretiva;Elétrico;158.789,40;5.055,00;31/01/2022;12:40:00;31/01/2022;13:10:00
754;CB-101;CAMINHAO BASCULANTE;Corretiva;Borracharia;106.373,50;14.778,00;31/01/2022;13:50:00;31/01/2022;14:30:00
755;RE-52;RETRO CASE;Lubrificação;Diversos;;4.810,60;31/01/2022;13:55:00;31/01/2022;14:20:00
756;#VALOR!;CAMINHAO HIPERVACUO;Corretiva;Borracharia;;;31/01/2022;14:15:00;31/01/2022;14:40:00
757;CHH-96;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;20.289,40;1.949,00;31/01/2022;16:00:00;31/01/2022;16:35:00
758;CV-33;CAMINHAO VACUO;Corretiva;Diversos;124.543,90;7.010,20;31/01/2022;16:20:00;31/01/2022;17:00:00
759;CV-32;CAMINHAO VACUO;Corretiva;Elétrico;102.344,30;6.408,30;01/02/2022;08:51:00;01/02/2022;08:56:00
760;CB-10;CAMINHAO BASCULANTE;Lavagem;Diversos;82.228,50;1.124,00;01/02/2022;09:00:00;01/02/2022;10:00:00
761;CH-15;CAMINHAO HIDROJATO;Corretiva;Elétrico;60.117,70;8.961,00;02/02/2022;08:00:00;02/02/2022;08:15:00
762;CHH-11;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;82.165,70;16.370,50;02/02/2022;09:10:00;02/02/2022;10:15:00
763;RC-48;REBOQUE CARROCERIA;Corretiva;Elétrico;;;02/02/2022;10:30:00;02/02/2022;10:45:00
764;RT-61;REBOQUE TANQUE;Corretiva;Borracharia;;;02/02/2022;14:31:00;02/02/2022;14:55:00
765;CRR-99;CAMINHAO ROLL ON;Corretiva;Borracharia;14.745,50;753,2;02/02/2022;16:10:00;02/02/2022;16:45:00
766;CRR-30;CAMINHAO ROLL ON;Corretiva;Mecânico;129.576,10;5.877,00;02/02/2022;13:39:00;02/02/2022;13:49:00
767;CB-10;CAMINHAO BASCULANTE;Corretiva;Diversos;82.228,50;1.124,00;03/02/2022;08:00:00;03/02/2022;11:24:00
768;CB-5;CAMINHAO BASCULANTE;Lubrificação;Diversos;14.561,00;1.716,30;03/02/2022;08:45:00;03/02/2022;09:00:00
769;CB-98;CAMINHAO BASCULANTE;Corretiva;Diversos;90.818,50;1.926,00;03/02/2022;10:27:00;03/02/2022;18:40:00
770;CHH-96;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;20.596,00;1.992,00;03/02/2022;11:25:00;03/02/2022;12:30:00
771;CRR-31;CAMINHAO ROLL ON;Corretiva;Borracharia;82.748,00;4.019,00;03/02/2022;13:20:00;03/02/2022;14:05:00
772;CHH-62;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Elétrico;34.537,70;4.051,30;03/02/2022;16:00:00;03/02/2022;16:30:00
773;CV-76;CAMINHAO VACUO;Corretiva;Diversos;44.087,40;5.784,00;04/02/2022;08:50:00;04/02/2022;09:11:00
774;CV-76;CAMINHAO VACUO;Lavagem;Diversos;44.087,40;5.784,00;04/02/2022;09:15:00;04/02/2022;09:55:00
775;CV-76;CAMINHAO VACUO;Lubrificação;Diversos;44.087,40;5.784,00;04/02/2022;09:55:00;04/02/2022;10:15:00
776;CHH-49;CAMINHAO HIPERVACUO HIDROJATO;Lavagem;Diversos;52.750,50;5.452,00;04/02/2022;09:55:00;04/02/2022;10:30:00
777;CHH-49;CAMINHAO HIPERVACUO HIDROJATO;Lubrificação;Diversos;52.750,50;5.452,00;04/02/2022;09:55:00;04/02/2022;10:30:00
778;CH-16;CAMINHAO HIDROJATO;Lavagem;Diversos;56.992,10;8.436,00;04/02/2022;09:15:00;04/02/2022;10:00:00
779;CH-16;CAMINHAO HIDROJATO;Lubrificação;Diversos;56.992,10;8.436,00;04/02/2022;09:15:00;04/02/2022;10:00:00
780;CB-83;CAMINHAO BASCULANTE;Preventiva;Diversos;27.290,30;3.896,00;04/02/2022;11:50:00;04/02/2022;13:05:00
781;EH-4;ESCAVADEIRA HIDRAULICA;Preventiva;Diversos;;440,3;04/02/2022;13:13:00;04/02/2022;15:52:00
782;CB-14;CAMINHAO BASCULANTE;Corretiva;Borracharia;116.431,80;7.449,00;04/02/2022;14:15:00;04/02/2022;15:15:00
783;CPG-18;CAMINHAO POLIGUINDASTE;Lavagem;Diversos;12.069,90;729;04/02/2022;15:10:00;04/02/2022;16:20:00
784;CPG-18;CAMINHAO POLIGUINDASTE;Lubrificação;Diversos;12.069,90;729;04/02/2022;15:10:00;04/02/2022;16:20:00
785;CHH-62;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;34.578,50;4.063,50;05/02/2022;08:00:00;05/02/2022;09:30:00
786;CH-15;CAMINHAO HIDROJATO;Corretiva;Elétrico;60.225,40;8.994,00;05/02/2022;11:40:00;05/02/2022;12:50:00
787;CPG-18;CAMINHAO POLIGUINDASTE;Corretiva;Elétrico;12.069,90;729;05/02/2022;11:00:00;05/02/2022;11:45:00
788;PC-88;PA CARREGADEIRA;Lavagem;Diversos;;2.403,50;05/02/2022;09:00:00;05/02/2022;11:00:00
789;PC-88;PA CARREGADEIRA;Lubrificação;Diversos;;2.403,50;05/02/2022;11:30:00;05/02/2022;12:30:00
790;CM-51;CAVALO MECANICO;Corretiva;Diversos;159.046,10;3.612,00;07/02/2022;08:00:00;07/02/2022;08:30:00
791;RT-24;REBOQUE TANQUE;Corretiva;Borracharia;;;07/02/2022;08:55:00;07/02/2022;09:30:00
792;CHH-49;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;52.750,50;5.452,00;07/02/2022;11:15:00;07/02/2022;11:35:00
793;CHH-96;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;21.256,40;2.060,00;07/02/2022;13:00:00;07/02/2022;13:45:00
794;PC-88;PA CARREGADEIRA;Preventiva;Diversos;;2.403,50;07/02/2022;14:30:00;07/02/2022;16:00:00
795;CB-84;CAMINHAO BASCULANTE;Preventiva;Diversos;28.145,70;3.819,00;07/02/2022;14:55:00;07/02/2022;15:55:00
796;CP-3;CAMINHAO PIPA;Corretiva;Borracharia;9.904,20;1.706,00;07/02/2022;16:14:00;07/02/2022;17:05:00
797;CRR-99;CAMINHAO ROLL ON;Corretiva;Mecânico;15.250,50;774,5;08/02/2022;09:00:00;11:40;11:40:00
798;RT-68;REBOQUE TANQUE;Corretiva;Elétrico;;;08/02/2022;11:45:00;08/02/2022;11:55:00
799;#VALOR!;CAMINHAO HIPERVACUO;Corretiva;Elétrico;754,1;24;08/02/2022;14:30:00;08/02/2022;14:55:00
800;CB-97;CAMINHAO BASCULANTE;Corretiva;Borracharia;124.761,00;6.008,00;09/02/2022;08:00:00;09/02/2022;09:45:00
801;CB-14;CAMINHAO BASCULANTE;Corretiva;Borracharia;116.711,80;7.518,00;09/02/2022;11:50:00;09/02/2022;15:00:00
802;CM-7;CAVALO MECANICO;Corretiva;Diversos;151.688,90;4.904,00;09/02/2022;12:04:00;09/02/2022;14:00:00
803;CM-57;CAVALO MECANICO;Corretiva;Mecânico;88.273,50;2.281,00;10/02/2022;08:00:00;10/02/2022;08:13:00
804;RT-25;REBOQUE TANQUE;Corretiva;Diversos;;;10/02/2022;08:03:00;10/02/2022;08:55:00
805;CH-63;CAMINHAO HIDROJATO;Corretiva;Mecânico;18.619,10;765;10/02/2022;08:10:00;10/02/2022;08:50:00
806;RT-24;REBOQUE TANQUE;Corretiva;Diversos;;;10/02/2022;09:15:00;10/02/2022;09:45:00
807;CB-12;CAMINHAO BASCULANTE;Preventiva;Diversos;103.223,90;7.126,00;10/02/2022;10:30:00;10/02/2022;11:45:00
808;CB-12;CAMINHAO BASCULANTE;Lubrificação;Diversos;103.223,90;7.126,00;10/02/2022;11:46:00;10/02/2022;12:05:00
809;#VALOR!;CAMINHAO HIPERVACUO;Corretiva;Borracharia;;;10/02/2022;12:15:00;10/02/2022;12:25:00
810;#VALOR!;CAMINHAO HIPERVACUO;Calibragem;Borracharia;;;10/02/2022;12:26:00;10/02/2022;12:35:00
811;CH-16;CAMINHAO HIDROJATO;Corretiva;Elétrico;57.222,50;8.497,00;10/02/2022;14:10:00;10/02/2022;14:45:00
812;CHH-8;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;5.699,40;188;10/02/2022;15:10:00;10/02/2022;15:35:00
813;CHH-75;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;29.643,60;4.568,70;10/02/2022;16:30:00;10/02/2022;17:05:00
814;CH-15;CAMINHAO HIDROJATO;Corretiva;Mecânico;60.343,90;9.025,00;10/02/2022;17:20:00;10/02/2022;17:45:00
815;RT-91;REBOQUE TANQUE;Calibragem;Borracharia;;;10/02/2022;16:10:00;10/02/2022;16:20:00
816;CM-5;CAVALO MECANICO;Calibragem;Borracharia;398.363,50;9.925,00;10/02/2022;16:30:00;10/02/2022;16:45:00
817;CV-76;CAMINHAO VACUO;Corretiva;Elétrico;44.748,40;5.831,00;10/02/2022;18:00:00;10/02/2022;18:08:00
818;CP-3;CAMINHAO PIPA;Corretiva;Elétrico;10.133,10;1.746,00;10/02/2022;18:10:00;10/02/2022;18:15:00
819;CHH-66;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Elétrico;27.530,50;7.105,70;11/02/2022;08:10:00;11/02/2022;08:55:00
820;CPG-18;CAMINHAO POLIGUINDASTE;Corretiva;Borracharia;12.152,80;735;11/02/2022;12:15:00;11/02/2022;12:45:00
821;CB-15;CAMINHAO BASCULANTE;Corretiva;Diversos;76.702,30;743;11/02/2022;14:00:00;11/02/2022;14:33:00
