ordem_de_servico;tag_equipamento;tipo_de_equipamento;tipo_de_evento;tipo_de_manutencao;km_atual;hr_atual;data_entrada;hora_entrada;data_saida;hora_saida
822;CHH-9;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Elétrico;10.467,10;449;12/02/2022;08:00:00;12/02/2022;09:26:00
823;RT-67;REBOQUE TANQUE;Corretiva;Borracharia;;;12/02/2022;08:15:00;12/02/2022;08:40:00
824;CPG-19;CAMINHAO POLIGUINDASTE;Corretiva;Mecânico;201.234,40;6.813,00;12/02/2022;10:45:00;12/02/2022;11:35:00
825;CM-56;CAVALO MECANICO;Corretiva;Mecânico;78.297,60;2.194,00;14/02/2022;08:10:00;14/02/2022;08:20:00
826;#VALOR!;CAMINHAO HIPERVACUO;Preventiva;Diversos;395.957,20;;15/02/2022;08:00:00;;
827;CB-101;CAMINHAO BASCULANTE;Corretiva;Borracharia;107.000,70;14.914,00;15/02/2022;09:00:00;15/02/2022;11:35:00
828;CHH-41;CAMINHAO HIPERVACUO HIDROJATO;Preventiva;Diversos;30.230,70;5.843,10;15/02/2022;12:20:00;15/02/2022;14:00:00
829;CM-6;CAVALO MECANICO;Corretiva;Diversos;392.729,90;6.611,00;15/02/2022;16:25:00;15/02/2022;17:35:00
830;CM-5;CAVALO MECANICO;Preventiva;Diversos;398.363,50;9.925,00;16/02/2022;08:00:00;16/02/2022;10:15:00
831;CH-15;CAMINHAO HIDROJATO;Corretiva;Diversos;60.402,70;9.052,00;17/02/2022;08:30:00;17/02/2022;09:15:00
832;VL-45;VEICULO LEVE;Corretiva;Mecânico;152.063,00;;17/02/2022;14:10:00;17/02/2022;14:47:00
833;CHH-66;CAMINHAO HIPERVACUO HIDROJATO;Corretiva;Diversos;27.551,20;7.108,60;18/02/2022;08:20:00;18/02/2022;09:05:00
